[14:50:10.077][4247.15, 4169.13, 4586.78, 4257.88, 3657.75, 3846.46][4076, 4075, 4074, 4076, 3927, 1139, 4075, 3973, 1269, 2137, 2803, 4039, 3810, 3483, 1675, 3840]
[14:50:10.628][4238.15, 4172.47, 4599.57, 4242.18, 3649.8, 3850.28][4080, 4077, 4075, 4072, 3930, 1133, 4078, 3962, 1255, 2141, 2799, 4052, 3773, 3483, 1655, 3840]
[14:50:11.150][4246.5, 4168.56, 4598.73, 4237.02, 3655.52, 3856.03][4076, 4077, 4074, 4073, 3928, 1131, 4074, 3952, 1229, 2053, 2804, 3997, 3769, 3470, 1670, 3840]
[14:50:11.690][4245.19, 4166.98, 4589.16, 4244.77, 3658.94, 3846.43][4077, 4075, 4073, 4075, 3933, 1135, 4073, 3960, 1215, 2068, 2803, 4009, 3759, 3476, 1655, 3840]
[14:50:12.241][4262.68, 4173.96, 4588.84, 4239.91, 3654.0, 3854.86][4076, 4073, 4076, 4068, 3933, 1129, 4076, 3965, 1229, 2093, 2799, 3982, 3723, 3476, 1680, 3840]
[14:50:12.777][4234.61, 4173.24, 4588.51, 4244.35, 3669.17, 3843.27][4075, 4075, 4075, 4071, 3930, 1135, 4075, 3962, 1254, 2067, 2797, 3973, 3739, 3479, 1683, 3840]
[14:50:13.326][4256.54, 4180.25, 4589.85, 4247.84, 3654.38, 3853.91][4077, 4075, 4077, 4072, 3930, 1131, 4071, 3960, 1261, 2132, 2803, 4059, 3717, 3478, 1688, 3840]
[14:50:13.862][4247.6, 4172.77, 4595.24, 4240.69, 3656.29, 3856.41][4074, 4075, 4076, 4073, 3928, 1129, 4073, 3955, 1230, 2068, 2799, 4042, 3739, 3467, 1687, 3840]
[14:50:14.401][4245.66, 4176.04, 4590.86, 4238.66, 3671.01, 3841.75][4074, 4075, 4073, 4075, 3933, 1125, 4071, 3959, 1226, 2291, 2547, 4021, 3733, 3468, 1673, 3840]
[14:50:14.941][4245.25, 4167.13, 4593.46, 4250.1, 3659.66, 3860.26][4075, 4076, 4075, 4074, 3934, 1124, 4075, 3962, 1237, 2297, 2543, 4000, 3747, 3467, 1676, 3840]
[14:50:15.492][4257.38, 4169.04, 4594.29, 4253.62, 3658.77, 3848.79][4077, 4075, 4075, 4073, 3939, 1123, 4076, 3961, 1235, 2297, 2548, 4029, 3768, 3467, 1685, 3840]
[14:50:16.030][4248.82, 4185.28, 4611.25, 4240.45, 3666.99, 3847.24][4075, 4077, 4074, 4074, 3933, 1109, 4076, 3963, 1260, 2077, 2797, 3978, 3742, 3467, 1691, 3840]
[14:50:16.567][4248.55, 4182.54, 4593.13, 4227.9, 3662.34, 3853.73][4083, 4073, 4075, 4055, 3932, 1112, 4071, 3981, 1123, 2513, 3315, 3941, 4018, 3531, 1688, 3840]
[14:50:17.102][4247.39, 4190.86, 4630.5, 4232.64, 3677.45, 3855.73][4073, 4076, 4073, 4075, 3927, 1055, 4075, 3965, 1216, 2160, 3316, 3901, 3957, 3501, 1614, 3840]
[14:50:17.654][4253.29, 4210.35, 4626.21, 4227.07, 3670.24, 3861.39][4075, 4075, 4073, 4074, 3939, 1077, 4076, 3999, 1229, 2061, 3314, 3997, 3891, 3529, 1612, 3840]
[14:50:18.189][4247.15, 4192.35, 4629.46, 4227.96, 3673.93, 3850.07][4075, 4077, 4073, 4074, 3939, 1059, 4075, 4020, 1240, 2219, 3060, 3999, 3861, 3517, 1626, 3840]
[14:50:18.740][4248.67, 4201.32, 4619.47, 4231.54, 3673.93, 3855.25][4075, 4075, 4075, 4075, 3935, 1041, 4074, 3999, 1246, 2149, 3055, 4025, 3915, 3494, 1612, 3840]
[14:50:19.276][4245.57, 4171.16, 4601.26, 4248.17, 3672.86, 3847.5][4074, 4077, 4073, 4079, 3996, 1077, 4073, 4061, 1128, 2346, 2937, 4012, 3942, 3373, 1982, 3840]
[14:50:19.828][4255.71, 4168.8, 4587.29, 4248.2, 3666.63, 3843.03][4077, 4078, 4074, 4075, 3961, 1097, 4075, 4013, 1277, 2293, 2793, 4019, 3993, 3541, 1609, 3840]
[14:50:20.349][4257.58, 4203.79, 4579.78, 4237.08, 3694.14, 3856.24][4077, 4078, 4075, 4070, 4015, 1063, 4072, 4047, 1245, 2392, 3369, 3987, 4051, 3272, 1717, 3840]
